id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len
6632296,,http://binus.ac.id/2016/05/global-compact-network-indonesia-sambangi-binus-university-2/,,Global Compact Network Indonesia Sambangi BINUS UN...,Global Compact Network Indonesia Sambangi BINUS UNIVERSITY,8,53,58,87,1689,1602
5776281,,http://www.trisakti.ac.id/?page=news&ID=4941,http://trisakti.ac.id/,Tim Mahasiswa Teknik Perminyakan FTKE Universitas Trisakti Raih 4 Medali di ITB,Beranda Website,69,79,15,1143,1396,450
5776307,,http://www.ubb.ac.id/content/ubb-sabet-1-emas-dan-3-perunggu-di-ismc-x,http://ubb.ac.id/,UBB Sabet 1 Emas dan 3 Perunggu di ISMC X,Universitas Bangka Belitung,32,41,27,769,1026,594
5781555,,http://indonesianfoodblogger.com/post/page/3249.html,,Blogpost(s) of The Month : March 2015,IDFoodBlogger,33,37,13,970,1238,1023
6326347,,http://www.aura.co.id/recipes/food/359-resep-kering-bihun-pangsit,http://www.aura.co.id/recipes/food/359-resep-kering-bihun-pangsit,Resep Kering Bihun Pangsit,"Aura Online: Media Wanita, Kaya Informasi, Sarat Informasi",47,26,58,58,743,685
5781562,,http://www.herworld.co.id/article/2016/2/3942-Kesalahan-Membuat-Teh-yang-Mungkin-Anda-Lakukan,http://www.herworld.co.id,Kesalahan Membuat Teh yangâ¦,Kesalahan Membuat Teh yang Mungkin Anda Lakukan,21,27,47,148,2208,2064
6699368,,http://www.cosmopolitan.co.id/article/read/5/2016/10133/beraksi-dengan-tas-rumbai,,Beraksi Dengan Tas Rumbai,COSMOPOLITAN INDONESIA,24,25,22,429,485,74
5785123,,http://www.cosmopolitan.co.id/article/read/2/2016/9778/tipe-outerwear-untuk-musim-hujan,,Tipe Outerwear Untuk Musim Hujan,COSMOPOLITAN INDONESIA,30,32,22,1039,1106,74
5785135,,http://www.cosmopolitan.co.id/article/read/3/2016/9791/trend-motif-garis-saat-ini,,Trend Motif Garis Saat Ini,COSMOPOLITAN INDONESIA,24,26,22,1934,2006,74
6326399,,http://www.kawankumagz.com/Fashion,http://www.cewekbanget.id/Fashion-And-Beauty,16 Inspirasi Legging Dengan Lukisan Hand-Made Bikin Kita Makin Gaya,Fashion & Beauty,58,67,16,573,696,197
6588016,,http://www.harpersbazaar.co.id/articles/read/5/2016/2414/6-Pilihan-Gaya-Busana-Saat-Berlibur,http://www.harpersbazaar.co.id/articles/read/5/2016/2414/6-Pilihan-Gaya-Busana-Saat-Berlibur,6 PILIHAN GAYA BUSANA SAAT BERLIBUR,6 Pilihan Gaya Busana Saat Berlibur,24,35,35,0,694,694
6604618,,http://surabayastyle.com/kritik-pembelenggu-pers-dengan-aksi-teatrikal/,http://surabayastyle.com/kritik-pembelenggu-pers-dengan-aksi-teatrikal/,Kritik Pembelenggu Pers Dengan Aksi Teatrikal,Kritik Pembelenggu Pers Dengan Aksi Teatrikal â Surabaya Style,17,45,62,88,1805,1717
5852630,,http://purwokertokita.com/rehat/ngaji-jumat-begini-tips-antisipasi-lgbt.html,http://purwokertokita.com/rehat/ngaji-jumat-begini-tips-antisipasi-lgbt.html,Ngaji Jumat : Begini Tips Antisipasi LGBTâ¦,Ngaji Jumat : Begini Tips Antisipasi LGBT,1,42,41,258,2915,2663
5935784,,http://purwokertokita.com/ragam/ini-besaran-kenaikan-iuran-bpjs-mulai-1-april-2016.html,http://purwokertokita.com/ragam/ini-besaran-kenaikan-iuran-bpjs-mulai-1-april-2016.html,Ini Besaran Kenaikan Iuran BPJS Mulai 1 April 2016,Kenaikan Iuran BPJS Mulai 1 April 2016,12,50,38,690,1278,588
5852686,,http://purwokertokita.com/bisnis/alasan-bandara-wirasaba-lebih-mungkin-dikembangkan-dibanding-tunggul-wulung.html,http://purwokertokita.com/bisnis/alasan-bandara-wirasaba-lebih-mungkin-dikembangkan-dibanding-tunggul-wulung.html,Alasan Bandara Wirasaba Lebih Mungkin Dikembangkan dibanding Tunggul Wulung,Alasan Bandara Wirasaba Dikembangkan,39,75,36,228,1727,1501
5852691,,http://purwokertokita.com/wisata/gerhana-matahari-di-banyumas-bisa-dinikmati-di-tempat-ini.html,http://purwokertokita.com/wisata/gerhana-matahari-di-banyumas-bisa-dinikmati-di-tempat-ini.html,Gerhana Matahari di Banyumas Bisa Dinikmati di Tempat Ini,Menikmati Gerhana Matahari di Banyumas,39,57,38,249,2611,2364
6238937,,http://purwokertokita.com/kuliner/yuks-cobain-menu-pizza-di-hangout-bistro-purbalingga.html,http://purwokertokita.com/kuliner/yuks-cobain-menu-pizza-di-hangout-bistro-purbalingga.html,Yuks Cobain Menu Pizza di Hangout Bistro Purbalingga,Menu Baru Berupa Pizza di Hangout Bistro Purbalingga,13,52,52,129,2292,2169
6013674,,http://purwokertokita.com/foto/menjelajah-situs-gunung-padang-majenang.html,http://purwokertokita.com/foto/menjelajah-situs-gunung-padang-majenang.html,Menjelajah Situs Gunung Padang Majenang,Menjelajah Situs Pabahana Majenang,10,39,34,90,585,497
6021877,,http://purwokertokita.com/bola/mampukah-ranieri-membawa-leicester-city-juara.html,http://purwokertokita.com/bola/mampukah-ranieri-membawa-leicester-city-juara.html,Mampukah Ranieri Membawa Leicester City Juara?,Mampukah Leicester City Juara Liga Inggris,29,46,42,78,8772,8704
6194121,,http://lintasgayo.co/2016/03/29/luput-dari-media-aktor-hollywood-leo-dicaprio-akan-sumbang-44-m-untuk-kel,http://lintasgayo.co/2016/03/29/luput-dari-media-aktor-hollywood-leo-dicaprio-akan-sumbang-44-m-untuk-kel,"Luput dari Media, Aktor Hollywood Leo DiCaprio Akan Sumbang 44 M Untuk KEL","Luput dari Media, Aktor Hollywood Leo DiCaprio Akan Sumbang 44 M Untuk KEL | Media Online Dataran Tinggi GAYO",35,74,109,14,1039,1027
6204116,,http://kotabogor.go.id/index.php/show_post/detail/2936/1000-mawar-untuk-bogor-berhasil-himpun-11-juta-rupiah#.Vvt_vhWLmM8http://,,1000 Mawar Untuk Bogor Berhasil Himpun 11 Juta Rupiah,Pemerintah Kota Bogor,44,53,21,143,1438,1297
6016398,,http://www.depokraya.com/berita-depok/resep-minggu-ini-serba-mercon-ala-vebes-terrace/,,Resep Minggu Ini: Serba Mercon ala Vebeâs Terrace,HugeDomains.com,44,49,15,1461,1651,258
6025643,,http://www.lantangriau.com/brigade-motor-lbh-dan-media-online-knpi-kota-pekanbaru-dikukuhkan/,http://www.lantangriau.com/brigade-motor-lbh-dan-media-online-knpi-kota-pekanbaru-dikukuhkan/,"Brigade Motor, LBH dan Media Online KNPI Kota Pekanbaru Dikukuhkan","Brigade Motor, LBH dan Media Online KNPI Kota Pekanbaru DikukuhkanLantang Riau",12,66,78,3,1204,1201
6016550,,http://radarjatim.com/tertimbun-longsor-2-orang-penambang-ini-tewas-mengenaskan/,http://radarjatim.com/tertimbun-longsor-2-orang-penambang-ini-tewas-mengenaskan/,"Tertimbun Longsor, 2 Orang Penambang Ini Tewas Mengenaskan","Tertimbun Longsor, 2 Orang Penambang Ini Tewas Mengenaskan Â» Radar Jatim",14,58,72,0,1436,1436
