id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len,,
4543744,,http://cinemapoetica.com/persepsi-monoton-tentang-penonton/,http://cinemapoetica.com/persepsi-monoton-tentang-penonton/,Persepsi Monoton tentang Penonton,Persepsi Monoton tentang Penonton,0,33,33,61,13910,13862,,
5239088,,http://movienthusiast.com/the-hateful-eight-2015/,http://movienthusiast.com/the-hateful-eight-2015/,The Hateful Eight (2015),The Hateful Eight (2015),0,24,24,400,5457,5075,,
4544332,,http://gayahidup.rimanews.com/selebritas/read/20151117/245582/Momen-Romatis-Raisa-Dipeluk-Kakak-Pevita-Pearce,http://rimanews.com/gayahidup/selebritas/read/20151117/245582/Momen-Romantis-Raisa-Dipeluk-Kakak-Pevita-Pearce,Momen Romatis Raisa Dipeluk Kakak Pevita Pearce,Momen Romantis Raisa Dipeluk Kakak Pevita Pearce,1,47,48,151,924,937,,
5214197,,http://nasional.rimanews.com/politik/read/20160116/256051/Teror-Bom-Thamrin-dan-Perpanjangan-Kontrak-Freeport-Ada-Apa-,http://rimanews.com/nasional/politik/read/20160116/256051/Teror-Bom-Thamrin-dan-Perpanjangan-Kontrak-Freeport-Ada-Apa-,"Teror Bom Thamrin dan Perpanjangan Kontrak Freeport, Ada Apa?","Teror Bom Thamrin dan Perpanjangan Kontrak Freeport, Ada Apa?",0,61,61,65,4854,4795,,
4546183,,http://teknologi.rimanews.com/gadget/read/20151117/245578/K-Blocker-Aplikasi-untuk-Blokir-Konten-Kim-Kardashian-di-iOS,http://rimanews.com/teknologi/gadget/read/20151117/245578/K-Blocker-Aplikasi-untuk-Blokir-Konten-Kim-Kardashian-di-iOS,"K Blocker, Aplikasi untuk Blokir Konten Kim Kardashian di iOS","K Blocker, Aplikasi untuk Blokir Konten Kim Kardashian di iOS",0,61,61,1,925,926,,
5242151,,http://olahraga.rimanews.com/raket/read/20160118/256248/Australian-Open-2016-Diguncang-Skandal-Pengaturan-Skor,http://rimanews.com/olahraga/raket/read/20160118/256248/Australian-Open-2016-Diguncang-Skandal-Pengaturan-Skor,Australian Open 2016 Diguncang Skandal Pengaturan Skor,Australian Open 2016 Diguncang Skandal Pengaturan Skor,0,54,54,2,1978,1980,,
4707033,,http://olahraga.rimanews.com/beladiri/read/20151205/249080/Muaythai-Resmi-Dipertandingkan-di-PON-2020,http://rimanews.com/olahraga/beladiri/read/20151205/249080/Muaythai-Resmi-Dipertandingkan-di-PON-2020,Muaythai Resmi Dipertandingkan di PON 2020,Muaythai Resmi Dipertandingkan di PON 2020,0,42,42,1,2459,2460,,
5717407,,http://olahraga.rimanews.com/raket/read/20160220/262970/Tim-Uber-Indonesia-Masih-Berpeluang-Lolos-ke-Putaran-Final,http://rimanews.com/olahraga/raket/read/20160220/262970/Tim-Uber-Indonesia-Masih-Berpeluang-Lolos-ke-Putaran-Final,Tim Uber Indonesia Masih Berpeluang Loloske Putaran Final,Tim Uber Indonesia Masih Berpeluang Lolos ke Putaran Final,1,57,58,50,2222,2172,,
5939014,,http://olahraga.rimanews.com/atletik/read/20160314/267465/Pemkab-Bangka-Tengah-Gelar-Kejuaraan-Nasional-Panjat-Tebing,http://rimanews.com/olahraga/atletik/read/20160314/267465/Pemkab-Bangka-Tengah-Gelar-Kejuaraan-Nasional-Panjat-Tebing,Pemkab Bangka Tengah Gelar Kejuaraan Nasional Panjat Tebing,Pemkab Bangka Tengah Gelar Kejuaraan Nasional Panjat Tebing,0,59,59,0,1401,1401,,
4522101,,http://gayahidup.rimanews.com/musik/read/20151114/245093/Senior-Aura-Kasih-Sering-Tanya-Ini-pada-Glenn,http://rimanews.com/gayahidup/musik/read/20151114/245093/Senior-Aura-Kasih-Sering-Tanya-Ini-pada-Glenn,"Senior, Aura Kasih Sering Tanya Ini pada Glenn","Senior, Aura Kasih Sering Tanya Ini pada Glenn",0,46,46,278,810,723,,
4544333,,http://komunitas.rimanews.com/fotovideo/read/20151117/5022/TNI-AL-Gelar-Lomba-Halang-Rintang,http://rimanews.com/komunitas/fotovideo/read/20151117/5022/TNI-AL-Gelar-Lomba-Halang-Rintang,TNI AL Gelar Lomba Halang Rintang,TNI AL Gelar Lomba Halang Rintang,0,33,33,0,384,384,,
4540084,,http://nasional.rimanews.com/kriminal/read/20151116/245423/Pegawai-KPUD-Curi-Motor,http://rimanews.com/nasional/kriminal/read/20151116/245423/Pegawai-KPUD-Curi-Motor,Pegawai KPUD Curi Motor,Pegawai KPUD Curi Motor,0,23,23,0,1319,1319,,
